fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
07.sie;0.82;0.29;04.mar;0.083;21;64;0.99642;mar.16;0.53;09.kwi;5
07.mar;0.585;0.18;02.kwi;0.078;15;60;0.99638;mar.31;0.54;09.sie;5
06.lut;0.44;0.39;02.maj;0.077;6;14;0.99555;mar.51;0.69;11;6
07.maj;0.38;0.57;02.mar;0.106;5;12;0.99605;mar.36;0.55;11.kwi;6
06.lip;0.76;0.02;01.sie;0.078;6;12;0.996;mar.55;0.63;wrz.95;3
06.sie;0.81;0.05;2;0.07;6;14;0.99562;mar.51;0.66;10.sie;6
07.maj;0.38;0.57;02.mar;0.106;5;12;0.99605;mar.36;0.55;11.kwi;6
07.sty;0.27;0.6;02.sty;0.074;17;25;0.99814;mar.38;0.72;10.cze;6
07.wrz;0.18;0.4;01.sie;0.062;7;20;0.9941;mar.28;0.7;11.sty;5
06.kwi;0.36;0.21;02.lut;0.047;26;48;0.99661;mar.47;0.77;09.lip;6
07.sty;0.69;0.04;02.sty;0.068;19;27;0.99712;mar.44;0.67;09.sie;5
06.kwi;0.79;0.04;02.lut;0.061;11;17;0.99588;mar.53;0.65;10.kwi;6
06.kwi;0.56;0.15;01.sie;0.078;17;65;0.99294;mar.33;0.6;10.maj;6
06.wrz;0.84;0.21;04.sty;0.074;16;65;0.99842;mar.53;0.72;9.23333333333333;6
06.wrz;0.84;0.21;04.sty;0.074;16;65;0.99842;mar.53;0.72;wrz.25;6
06.sty;0.32;0.25;02.mar;0.071;23;58;0.99633;mar.42;0.97;10.cze;5
06.maj;0.53;0.06;2;0.063;29;44;0.99489;mar.38;0.83;10.mar;6
07.kwi;0.47;0.46;02.lut;0.114;7;20;0.99647;mar.32;0.63;10.maj;5
06.cze;0.7;0.08;02.cze;0.106;14;27;0.99665;mar.44;0.58;10.lut;5
06.maj;0.53;0.06;2;0.063;29;44;0.99489;mar.38;0.83;10.mar;6
06.wrz;0.48;0.2;01.wrz;0.082;9;23;0.99585;mar.39;0.43;09.maj;4
06.sty;0.32;0.25;02.mar;0.071;23;58;0.99633;mar.42;0.97;10.cze;5
06.sie;0.48;0.25;2;0.076;29;61;0.9953;mar.34;0.6;10.kwi;5
6;0.42;0.19;2;0.075;22;47;0.99522;mar.39;0.78;10;6
06.lip;0.48;0.08;02.sty;0.064;18;34;0.99552;mar.33;0.64;09.lip;5
06.sie;0.47;0.08;02.lut;0.064;18;38;0.99553;03.mar;0.65;09.cze;6
07.sty;0.53;0.07;01.lip;0.071;15;24;0.9951;mar.29;0.66;10.sie;6
07.wrz;0.29;0.49;02.lut;0.096;21;59;0.99714;mar.31;0.67;10.sty;6
07.sty;0.69;0.08;02.sty;0.063;42;52;0.99608;mar.42;0.6;10.lut;6
06.cze;0.44;0.09;02.lut;0.063;9;18;0.99444;mar.42;0.69;11.mar;6
06.sty;0.705;0.1;02.sie;0.081;13;28;0.99631;03.cze;0.66;10.lut;5
07.lut;0.53;0.13;2;0.058;18;22;0.99573;mar.21;0.68;09.wrz;6
8;0.39;0.3;01.wrz;0.074;32;84;0.99717;mar.39;0.61;9;5
06.cze;0.56;0.14;02.kwi;0.064;13;29;0.99397;mar.42;0.62;11.lip;7
7;0.55;0.13;02.lut;0.075;15;35;0.9959;mar.36;0.59;09.lip;6
06.sty;0.53;0.08;01.wrz;0.077;24;45;0.99528;03.cze;0.68;10.mar;6
05.kwi;0.58;0.08;01.wrz;0.059;20;31;0.99484;03.maj;0.64;10.lut;6
06.lut;0.64;0.09;02.maj;0.081;15;26;0.99538;mar.57;0.63;12;5
07.lut;0.39;0.32;01.sie;0.065;34;60;0.99714;mar.46;0.78;09.wrz;5
06.lut;0.52;0.08;04.kwi;0.071;11;32;0.99646;mar.56;0.63;11.cze;6
07.kwi;0.25;0.29;02.lut;0.054;19;49;0.99666;03.kwi;0.76;10.wrz;7
06.lip;0.855;0.02;01.wrz;0.064;29;38;0.99472;03.mar;0.56;paü.75;6
11.sty;0.44;0.42;02.lut;0.064;14;19;0.99758;mar.25;0.57;10.kwi;6
08.kwi;0.37;0.43;02.mar;0.063;12;19;0.9955;mar.17;0.81;11.lut;7
06.maj;0.63;0.33;01.sie;0.059;16;28;0.99531;mar.36;0.64;10.sty;6
7;0.57;0.02;2;0.072;17;26;0.99575;mar.36;0.61;10.lut;5
06.mar;0.6;0.1;01.cze;0.048;12;26;0.99306;mar.55;0.51;12.sty;5
11.lut;0.4;0.5;2;0.099;19;50;0.99783;03.sty;0.58;10.kwi;5
07.kwi;0.36;0.3;01.sie;0.074;17;24;0.99419;mar.24;0.7;11.kwi;8
07.sty;0.68;0;02.mar;0.087;17;26;0.99783;mar.45;0.53;09.maj;5
07.sty;0.67;0;02.mar;0.083;18;27;0.99768;mar.44;0.54;09.kwi;5
06.mar;0.68;0.01;03.lip;0.103;32;54;0.99586;mar.51;0.66;11.mar;6
07.mar;0.735;0;02.lut;0.08;18;28;0.99765;mar.41;0.6;09.kwi;5
06.cze;0.855;0.02;02.kwi;0.062;15;23;0.99627;mar.54;0.6;11;6
7;0.56;0.17;01.lip;0.065;15;24;0.99514;mar.44;0.68;paü.55;7
06.cze;0.88;0.04;02.lut;0.066;12;20;0.99636;mar.53;0.56;09.wrz;5
06.cze;0.855;0.02;02.kwi;0.062;15;23;0.99627;mar.54;0.6;11;6
06.wrz;0.63;0.33;06.lip;0.235;66;115;0.99787;mar.22;0.56;09.maj;5
07.sie;0.6;0.26;2;0.08;31;131;0.99622;mar.21;0.52;09.wrz;5
07.sie;0.6;0.26;2;0.08;31;131;0.99622;mar.21;0.52;09.wrz;5
07.sie;0.6;0.26;2;0.08;31;131;0.99622;mar.21;0.52;09.wrz;5
07.lut;0.695;0.13;2;0.076;12;20;0.99546;mar.29;0.54;10.sty;5
07.lut;0.695;0.13;2;0.076;12;20;0.99546;mar.29;0.54;10.sty;5
07.lut;0.695;0.13;2;0.076;12;20;0.99546;mar.29;0.54;10.sty;5
06.lip;0.67;0.02;01.wrz;0.061;26;42;0.99489;mar.39;0.82;10.wrz;6
06.lip;0.16;0.64;02.sty;0.059;24;52;0.99494;mar.34;0.71;11.lut;6
07.lut;0.695;0.13;2;0.076;12;20;0.99546;mar.29;0.54;10.sty;5
7;0.56;0.13;01.cze;0.077;25;42;0.99629;mar.34;0.59;09.lut;5
06.lut;0.51;0.14;01.wrz;0.056;15;34;0.99396;mar.48;0.57;11.maj;6
06.kwi;0.36;0.53;02.lut;0.23;19;35;0.9934;mar.37;0.93;12.kwi;6
06.kwi;0.38;0.14;02.lut;0.038;15;25;0.99514;mar.44;0.65;11.sty;6
07.mar;0.69;0.32;02.lut;0.069;35;104;0.99632;mar.33;0.51;09.maj;5
6;0.58;0.2;02.kwi;0.075;15;50;0.99467;mar.58;0.67;12.maj;6
05.cze;0.31;0.78;13.wrz;0.074;23;92;0.99677;mar.39;0.48;10.maj;6
07.maj;0.52;0.4;02.lut;0.06;12;20;0.99474;mar.26;0.64;11.sie;6
8;0.3;0.63;01.cze;0.081;16;29;0.99588;03.mar;0.78;10.sie;6
06.lut;0.7;0.15;05.sty;0.076;13;27;0.99622;mar.54;0.6;11.wrz;6
06.sie;0.67;0.15;01.sie;0.118;13;20;0.9954;mar.42;0.67;11.mar;6
06.lut;0.56;0.09;01.lip;0.053;24;32;0.99402;mar.54;0.6;11.mar;5
07.kwi;0.35;0.33;02.kwi;0.068;9;26;0.9947;mar.36;0.6;11.wrz;6
06.lut;0.56;0.09;01.lip;0.053;24;32;0.99402;mar.54;0.6;11.mar;5
06.sty;0.715;0.1;02.cze;0.053;13;27;0.99362;mar.57;0.5;11.wrz;5
06.lut;0.46;0.29;02.sty;0.074;32;98;0.99578;mar.33;0.62;09.sie;5
06.lip;0.32;0.44;02.kwi;0.061;24;34;0.99484;mar.29;0.8;11.cze;7
07.lut;0.39;0.44;02.cze;0.066;22;48;0.99494;03.mar;0.84;11.maj;6
07.maj;0.31;0.41;02.kwi;0.065;34;60;0.99492;mar.34;0.85;11.kwi;6
05.sie;0.61;0.11;01.sie;0.066;18;28;0.99483;mar.55;0.66;10.wrz;6
07.lut;0.66;0.33;02.maj;0.068;34;102;0.99414;mar.27;0.78;12.sie;6
06.cze;0.725;0.2;07.sie;0.073;29;79;0.9977;mar.29;0.54;09.lut;5
06.mar;0.55;0.15;01.sie;0.077;26;35;0.99314;mar.32;0.82;11.cze;6
05.kwi;0.74;0.09;01.lip;0.089;16;26;0.99402;mar.67;0.56;11.cze;6
06.mar;0.51;0.13;02.mar;0.076;29;40;0.99574;mar.42;0.75;11;6
06.sie;0.62;0.08;01.wrz;0.068;28;38;0.99651;mar.42;0.82;09.maj;6
06.lut;0.6;0.08;2;0.09;32;44;0.9949;mar.45;0.58;10.maj;5
05.wrz;0.55;0.1;02.lut;0.062;39;51;0.99512;mar.52;0.76;11.lut;6
06.mar;0.51;0.13;02.mar;0.076;29;40;0.99574;mar.42;0.75;11;6
05.wrz;0.645;0.12;2;0.075;32;44;0.99547;mar.57;0.71;10.lut;5
6;0.31;0.47;03.cze;0.067;18;42;0.99549;mar.39;0.66;11;6
